,ticker,name,sectors,industry
72,ALLCARGO,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics
73,ALLSEC,Allsec Technologies Limited,Industrials,Specialty Business Services
74,ALMONDZ,Almondz Global Securities Limited,Financial Services,Capital Markets
75,ALOKINDS,Alok Industries Limited,Consumer Cyclical,Textile Manufacturing
76,ALPA,Alpa Laboratories Limited,Healthcare,Drug Manufacturers—Specialty & Generic
77,ALPHAGEO,Alphageo (India) Limited,Energy,Oil & Gas Equipment & Services
78,ALPSINDUS,Alps Industries Limited,Consumer Cyclical,Textile Manufacturing
79,AMARAJABAT,Amara Raja Batteries Limited,Industrials,Electrical Equipment & Parts
80,AMBER,Amber Enterprises India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
81,AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive,Household & Personal Products
82,AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing
83,AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials
84,AMDIND,AMD Industries Limited,Consumer Cyclical,Packaging & Containers
85,AMIORG,Ami Organics Limited,Basic Materials,Specialty Chemicals
86,AMJLAND,AMJ Land Holdings Limited,Real Estate,Real Estate—Development
87,AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drug Manufacturers—Specialty & Generic
88,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Asset Management
89,ANANTRAJ,Anant Raj Limited,Real Estate,Real Estate—Development
90,ANDHRACEMT,Andhra Cements Limited,Basic Materials,Building Materials
91,ANDHRAPAP,Andhra Paper Limited,Basic Materials,Paper & Paper Products
92,ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,Chemicals
93,ANDREWYU,Andrew Yule & Company Limited,Consumer Defensive,Farm Products
94,ANGELONE,Angel One Limited,Financial Services,Capital Markets
95,ANIKINDS,Anik Industries Limited,Consumer Defensive,Food Distribution
96,ANKITMETAL,Ankit Metal & Power Limited,Basic Materials,Steel
97,ANMOL,Anmol India Limited,Energy,Thermal Coal
98,ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate,Real Estate—Development
99,ANSALHSG,Ansal Housing Limited,Real Estate,Real Estate—Development
